date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:04	38033/38033	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:04%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/council.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/intro/council.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:04	39220/39220	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:04%20GMT	https://aisw.kangwon.ac.kr/aisw/intro/location.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/intro/location.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:04	68229/68229	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:04%20GMT	https://aisw.kangwon.ac.kr/aisw/professor/professor.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/professor/professor.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:05	43928/43928	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:04%20GMT	https://aisw.kangwon.ac.kr/aisw/professor/emeritus-professor.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/professor/emeritus-professor.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:05	48686/48686	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:04%20GMT	https://aisw.kangwon.ac.kr/aisw/bachelor/curriculum.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/bachelor/curriculum.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:05	320688/320688	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:05%20GMT	https://aisw.kangwon.ac.kr/aisw/bachelor/subject.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/bachelor/subject.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:05	38070/38070	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:05%20GMT	https://aisw.kangwon.ac.kr/aisw/bachelor/info.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/bachelor/info.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:05	43554/43554	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:05%20GMT	https://aisw.kangwon.ac.kr/aisw/bachelor/calendar.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/bachelor/calendar.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:06	36584/36584	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:05%20GMT	https://aisw.kangwon.ac.kr/aisw/admission/admission-guide.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/admission/admission-guide.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:06	62917/62917	---MC-	200	added ('OK')	text/html	date:Sat,%2023%20Apr%202022%2010:46:05%20GMT	https://aisw.kangwon.ac.kr/aisw/community/notice.do	F:/JSP_Project2/aisw.kangwon.ac.kr/aisw/community/notice.html	(from https://aisw.kangwon.ac.kr/aisw/index.do)
